Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
ENGIFP,1/16/2018,Corporates,Industrial,Power Generation,#N/A Field Not Applicable,1/10/2018,PERP/CALL,EUR,30.76919937,46.15380096,1224360000,VARIABLE,BBB-,BBB-,Baa3,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
PAPREC,3/29/2018,Corporates,Industrial,Waste & Environment Services & Equipment,3/31/2025,3/15/2018,CALLABLE,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,706715250,FIXED,B,B+,B2,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
FIBRBZ,1/17/2017,Corporates,Industrial,Forest & Paper Products Manufacturing,1/17/2027,1/11/2017,AT MATURITY,USD,22.22220039,66.66670227,700000000,FIXED,BBB-,BBB-,#N/A N/A,CAYMAN ISLANDS,#N/A N/A,#N/A N/A,#N/A N/A
MEXCAT,9/20/2017,Corporates,Industrial,Transportation & Logistics,7/31/2047,9/13/2017,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,3000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
SUZANO,7/14/2016,Corporates,Industrial,Forest & Paper Products Manufacturing,7/14/2026,7/7/2016,AT MATURITY,USD,22.22220039,66.66670227,700000000,FIXED,BBB-,BBB-,#N/A N/A,AUSTRIA,#N/A N/A,#N/A N/A,#N/A N/A
PAPREC,3/29/2018,Corporates,Industrial,Waste & Environment Services & Equipment,3/31/2025,3/12/2018,CALLABLE,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,276540750,FLOATING,NR,B+,WR,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
NDXGR,2/2/2018,Corporates,Industrial,Renewable Energy,2/1/2023,1/23/2018,CALLABLE,EUR,16.66670036,#N/A N/A,342905750,FIXED,B-,B-,B3,GERMANY,200.3922311,4.855571529,2.648293741
RECLIN,7/7/2017,Corporates,Financial,Commercial Finance,7/7/2027,6/29/2017,AT MATURITY,USD,0,0,450000000,FIXED,BBB-,#N/A N/A,Baa3,INDIA,#N/A N/A,#N/A N/A,#N/A N/A
TJRTGC,3/22/2018,Corporates,Industrial,Industrial Other,6/22/2022,2/28/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,492108000,FIXED,BBB+,#N/A N/A,Baa1,BRITISH VIRGIN,#N/A N/A,#N/A N/A,#N/A N/A
MEXCAT,9/29/2016,Corporates,Industrial,Transportation & Logistics,10/31/2026,9/22/2016,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,1000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
AAPL,2/23/2016,Corporates,Industrial,Communications Equipment,2/23/2023,2/16/2016,CALLABLE,USD,28.57139969,85.71430206,1500000000,FIXED,AA+,AA+,Aa1,UNITED STATES,310.5585484,3.415583951,6.378428764
IBESM,11/22/2017,Corporates,Industrial,Utilities,#N/A Field Not Applicable,11/14/2017,PERP/CALL,EUR,35.71429825,71.4285965,1179510000,VARIABLE,BBB-,BBB-,Baa3,NETHERLANDS,126.8402222,456.7204707,407.7356102
MEXCAT,9/20/2017,Corporates,Industrial,Transportation & Logistics,4/30/2028,9/13/2017,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,1000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
KLAB,9/19/2017,Corporates,Industrial,Containers & Packaging,9/19/2027,9/12/2017,AT MATURITY,USD,7.692309856,53.84619904,500000000,FIXED,BB+,BB+,#N/A N/A,LUXEMBOURG,#N/A N/A,#N/A N/A,#N/A N/A
ISPIM,6/27/2017,Corporates,Bank,Banks,6/27/2022,6/16/2017,AT MATURITY,EUR,36.84209824,73.68419647,565590000,FIXED,BBB,BBB,Baa1,ITALY,268.6676974,6.007208125,1.736367436
GCLNE,1/30/2018,Corporates,Industrial,Power Generation,1/30/2021,1/23/2018,AT MATURITY,USD,#N/A N/A,#N/A N/A,500000000,EXCHANGED,NR,NR,WR,BERMUDA,#N/A N/A,#N/A N/A,#N/A N/A
ORSTED,11/24/2017,Corporates,Industrial,Power Generation,11/24/3017,11/16/2017,CALLABLE,EUR,22.22220039,66.66670227,596380000,VARIABLE,BB+,BB+,Baa3,DENMARK,122.5790329,39.12185201,317.5271079
AZUPOE,8/3/2017,Corporates,Industrial,Power Generation,11/3/2022,7/27/2017,CALLABLE,USD,11.1111002,55.55559921,500000000,FIXED,BB-,#N/A N/A,Ba2,MAURITIUS,359.0348744,0.048850132,1.046281019
EDF,10/13/2015,Corporates,Industrial,Power Generation,10/13/2025,10/7/2015,CALLABLE,USD,44.44440079,27.77779961,1250000000,FIXED,BBB+,BBB+,A3,FRANCE,909.4155844,405.7597311,169.5520581
STAREN,4/24/2018,Corporates,Industrial,Power Generation,4/24/2033,4/17/2018,CALL/SINK,USD,25,50,580000000,FIXED,BB-,#N/A N/A,Ba3,BRITISH VIRGIN,334.2539519,1493.250277,1196.122169
WHMTR,12/5/2018,Corporates,Industrial,Industrial Other,#N/A Field Not Applicable,11/21/2018,PERP/CALL,USD,#N/A N/A,#N/A N/A,400000000,VARIABLE,A-,#N/A N/A,A3,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
SWIPRO,1/10/2018,Corporates,Industrial,Real Estate,1/10/2028,1/3/2018,AT MATURITY,USD,33.33330154,41.66669846,500000000,FIXED,A,#N/A N/A,A2,HONG KONG,639.372154,16.23211589,34.10435717
AAPL,6/20/2017,Corporates,Industrial,Communications Equipment,6/20/2027,6/13/2017,CALLABLE,USD,28.57139969,85.71430206,1000000000,FIXED,AA+,AA+,Aa1,UNITED STATES,310.5585484,3.415583951,6.378428764
IBESM,3/26/2018,Corporates,Industrial,Utilities,#N/A Field Not Applicable,3/19/2018,PERP/CALL,EUR,35.71429825,71.4285965,871101000,VARIABLE,BBB-,BBB-,Baa3,NETHERLANDS,126.8402222,456.7204707,407.7356102
CENVHL,9/11/2018,Corporates,Industrial,Waste & Environment Services & Equipment,9/11/2021,9/4/2018,AT MATURITY,USD,#N/A N/A,#N/A N/A,300000000,FIXED,NR,#N/A N/A,#N/A N/A,CAYMAN ISLANDS,#N/A N/A,#N/A N/A,#N/A N/A
BNP,12/1/2016,Corporates,Bank,Diversified Banks,6/1/2022,11/24/2016,AT MATURITY,EUR,42.85710144,64.28569794,531270000,FIXED,A+,A+,Aa3,FRANCE,#N/A N/A,4.691934006,1.463239564
CMPCCI,4/4/2017,Corporates,Industrial,Forest & Paper Products Manufacturing,4/4/2027,3/30/2017,AT MATURITY,USD,#N/A N/A,#N/A N/A,500000000,FIXED,BBB-,BBB-,Baa3,CHILE,#N/A N/A,#N/A N/A,#N/A N/A
ORSTED,11/24/2017,Corporates,Industrial,Power Generation,11/26/2029,11/16/2017,CALLABLE,EUR,22.22220039,66.66670227,894570000,FIXED,BBB+,BBB+,Baa1,DENMARK,122.5790329,39.12185201,317.5271079
ACSSCE,4/20/2018,Corporates,Industrial,Industrial Other,4/20/2026,4/4/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,922260000,FIXED,NR,BBB-,#N/A N/A,SPAIN,#N/A N/A,#N/A N/A,#N/A N/A
VWSDC,3/11/2015,Corporates,Industrial,Renewable Energy,3/11/2022,3/4/2015,CALLABLE,EUR,28.57139969,50,526585000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,DENMARK,117.5523349,4.926108374,2.484852611
GFCFP,6/30/2017,Corporates,REIT,Real Estate,6/30/2022,6/27/2017,AT MATURITY,EUR,45.45449829,63.63639832,570625000,FLOATING,A-,A-,A3,FRANCE,#N/A N/A,18.46277652,28.74698792
BRFSBZ,6/3/2015,Corporates,Industrial,Food & Beverage,6/3/2022,5/29/2015,AT MATURITY,EUR,20,90,562745000,FIXED,BB-,BB-,Ba2,BRAZIL,57.36692075,12.05717311,4.625754579
POWFIN,12/6/2017,Corporates,Financial,Commercial Finance,12/6/2027,11/28/2017,AT MATURITY,USD,14.28569984,28.57139969,400000000,FIXED,BBB-,NR,Baa3,INDIA,#N/A N/A,#N/A N/A,#N/A N/A
TENN,4/12/2017,Corporates,Industrial,Utilities,#N/A Field Not Applicable,3/29/2017,PERP/CALL,EUR,60,100,1166264000,VARIABLE,BB+,BB+,Baa3,NETHERLANDS,10314.14184,484.9452931,563.9551256
GFCFP,6/17/2015,Corporates,REIT,Real Estate,6/17/2024,6/9/2015,CALLABLE,EUR,45.45449829,63.63639832,563255000,FIXED,A-,A-,A3,FRANCE,#N/A N/A,18.46277652,28.74698792
SBIIN,9/28/2018,Corporates,Industrial,Banks,9/28/2023,9/19/2018,AT MATURITY,USD,7.142859936,35.71429825,650000000,FIXED,BBB-,BBB-,Baa3,INDIA,698.218449,0.290373089,4.276562768
GRNKEN,8/16/2016,Corporates,Industrial,Power Generation,8/16/2023,8/10/2016,CALLABLE,USD,#N/A N/A,#N/A N/A,500000000,FIXED,BB-,B+,#N/A N/A,MAURITIUS,#N/A N/A,#N/A N/A,#N/A N/A
MTRC,11/2/2016,Corporates,Industrial,Travel & Lodging,11/2/2026,10/24/2016,AT MATURITY,USD,25,70,600000000,FIXED,AA,AA+,Aa3,CAYMAN ISLANDS,#N/A N/A,37.44646364,46.55337706
RWILN,6/16/2015,Corporates,Industrial,Waste & Environment Services & Equipment,6/16/2022,5/26/2015,AT MATURITY,EUR,25,75,112419000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,BRITAIN,744.9342571,364.4249183,78.92168822
AMPILT,10/19/2016,Corporates,Industrial,Renewable Energy,10/17/2036,10/12/2016,CALL/SINK,GBP,#N/A N/A,#N/A N/A,190276450,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,BRITAIN,#N/A N/A,#N/A N/A,#N/A N/A
ENELIM,1/16/2018,Corporates,Financial,Utilities,9/16/2026,1/9/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,1530450000,FIXED,BBB+,BBB+,Baa1,NETHERLANDS,#N/A N/A,#N/A N/A,#N/A N/A
SO,6/20/2016,Corporates,Utility,Utilities,6/20/2022,6/13/2016,AT MATURITY,EUR,#N/A N/A,#N/A N/A,678888000,FIXED,BBB+,BBB+,Baa1,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
EDF,10/13/2016,Corporates,Industrial,Power Generation,10/13/2026,10/6/2016,CALLABLE,EUR,44.44440079,27.77779961,1932035000,FIXED,BBB+,BBB+,A3,FRANCE,909.4155844,405.7597311,169.5520581
FRPTT,11/30/2018,Corporates,Industrial,Transportation & Logistics,11/30/2028,11/23/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,565745000,FIXED,A,A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
JIIN,2/1/2017,Corporates,Industrial,Machinery Manufacturing,2/1/2022,1/25/2017,CALLABLE,USD,10,50,200000000,DEFAULTED,NR,NR,#N/A N/A,NETHERLANDS,#N/A N/A,#N/A N/A,#N/A N/A
MEXCAT,9/29/2016,Corporates,Industrial,Transportation & Logistics,10/31/2046,9/22/2016,CALLABLE,USD,#N/A Field Not Applicable,#N/A Field Not Applicable,1000000000,FIXED,BBB-,BBB,Baa3,MEXICO,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
IBESM,3/7/2017,Corporates,Financial,Utilities,3/7/2025,2/28/2017,CALLABLE,EUR,35.71429825,71.4285965,1057500000,FIXED,BBB+,BBB+,Baa1,SPAIN,126.8402222,456.7204707,407.7356102
NDASS,6/30/2017,Corporates,Bank,Banks,6/30/2022,6/16/2017,AT MATURITY,EUR,35.71429825,64.28569794,570625000,FIXED,AA-,#N/A N/A,Aa3,FINLAND,59.51043216,0.559055131,0.205296712
SUMIFR,9/27/2018,Corporates,Industrial,Forest & Paper Products Manufacturing,9/27/2023,9/11/2018,CONVERTIBLE,JPY,12.5,25,88151200,ZERO COUPON,#N/A N/A,#N/A N/A,#N/A N/A,JAPAN,114.5154313,0.344173594,19.65652804
ANASM,9/20/2017,Corporates,Financial,Industrial Other,12/20/2030,9/8/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,141650740,FIXED,NR,#N/A N/A,#N/A N/A,SPAIN,#N/A N/A,#N/A N/A,#N/A N/A
INTNED,11/15/2018,Corporates,Bank,Banks,11/15/2030,11/8/2018,AT MATURITY,EUR,33.33330154,100,1697280000,FIXED,A-,A-,Baa1,NETHERLANDS,59.25925926,0.568020449,0.273205382
IBESM,4/21/2016,Corporates,Industrial,Utilities,4/21/2026,4/14/2016,AT MATURITY,EUR,35.71429825,71.4285965,1129800000,FIXED,BBB+,BBB+,Baa1,NETHERLANDS,126.8402222,456.7204707,407.7356102
DUK,11/8/2018,Corporates,Utility,Utilities,5/15/2022,11/5/2018,AT MATURITY,USD,#N/A N/A,#N/A N/A,350000000,FIXED,A+,A,Aa3,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
IBESM,12/7/2016,Corporates,Financial,Utilities,3/7/2024,11/24/2016,CALLABLE,EUR,35.71429825,71.4285965,805785000,FIXED,BBB+,BBB+,Baa1,SPAIN,126.8402222,456.7204707,407.7356102
ABNANV,5/31/2016,Corporates,Bank,Banks,5/31/2022,5/23/2016,AT MATURITY,EUR,37.5,100,556935000,FIXED,A,A,A1,NETHERLANDS,92.74456751,0.890534521,0.485406754
YANTZE,6/21/2017,Corporates,Industrial,Renewable Energy,6/21/2024,6/14/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,724581000,FIXED,A+,#N/A N/A,A1,CAYMAN ISLANDS,#N/A N/A,#N/A N/A,#N/A N/A
BCHINA,7/12/2016,Corporates,Industrial,Banks,7/12/2021,7/4/2016,AT MATURITY,USD,26.66670036,40,1000000000,FIXED,NR,#N/A N/A,WR,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
BCHINA,11/22/2017,Corporates,Industrial,Banks,11/22/2022,11/15/2017,AT MATURITY,USD,26.66670036,40,500000000,FLOATING,A,A,WR,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
ALDFP,10/11/2018,Corporates,Industrial,Retail - Consumer Discretionary,10/11/2022,9/18/2018,AT MATURITY,EUR,50,40,578740000,FIXED,BBB,BBB,#N/A N/A,FRANCE,390.4999971,0.786173013,1.166367972
LINREI,7/21/2016,Corporates,Industrial,Real Estate,7/21/2026,7/14/2016,AT MATURITY,USD,33.33330154,75,500000000,FIXED,A,A,A2,CAYMAN ISLANDS,451.9556537,9.79886442,99.4135971
SENGR,5/5/2017,Corporates,Industrial,Renewable Energy,10/25/2022,4/27/2017,CALLABLE,EUR,0,#N/A N/A,439608000,DEFAULTED,NR,NR,WR,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
NTGYSM,11/15/2017,Corporates,Financial,Utilities,5/15/2025,11/8/2017,CALLABLE,EUR,#N/A N/A,#N/A N/A,943808000,FIXED,BBB,BBB,Baa2u,NETHERLANDS,#N/A N/A,#N/A N/A,#N/A N/A
ENGIFP,9/28/2017,Corporates,Industrial,Power Generation,2/28/2023,9/19/2017,CALLABLE,EUR,30.76919937,46.15380096,589200000,FIXED,BBB+,BBB+,Baa1,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
MUFG,9/13/2016,Corporates,Bank,Diversified Banks,9/13/2023,9/6/2016,AT MATURITY,USD,18.75,56.25,500000000,FIXED,A-,A-,A1,JAPAN,453.3636545,0.029551542,1.401818575
ENELIM,1/16/2017,Corporates,Financial,Utilities,9/16/2024,1/9/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,1325537500,FIXED,BBB+,BBB+,Baa1,NETHERLANDS,#N/A N/A,#N/A N/A,#N/A N/A
MASSIN,9/29/2014,Corporates,Muni_Rev,Educational Services,7/1/2038,9/22/2014,SINKABLE,USD,#N/A N/A,#N/A N/A,370000000,FIXED,AAA,AAA,Aaa,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
RESFER,7/20/2017,Governments,Industrial,Transportation & Logistics,12/20/2047,7/13/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,1570671000,FIXED,AA,#N/A N/A,Aa2,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
MUFG,1/26/2018,Corporates,Bank,Diversified Banks,1/26/2023,1/18/2018,AT MATURITY,EUR,18.75,56.25,621955000,FIXED,A-,A-,A1,JAPAN,453.3636545,0.029551542,1.401818575
LIEENE,7/14/2017,Corporates,Industrial,Utilities,7/14/2027,7/7/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,343770000,FIXED,NR,BBB+,#N/A N/A,LITHUANIA,#N/A N/A,#N/A N/A,#N/A N/A
DTE,5/7/2018,Corporates,Utility,Utilities,5/15/2048,4/30/2018,CALLABLE,USD,#N/A N/A,#N/A N/A,525000000,FIXED,A+,A,Aa3,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
ICBCAS,6/14/2018,Corporates,Industrial,Banks,6/14/2023,6/5/2018,AT MATURITY,USD,16.66670036,41.66669846,500000000,FLOATING,NR,#N/A N/A,A1,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
BCHINA,7/12/2016,Corporates,Industrial,Banks,7/12/2021,7/5/2016,AT MATURITY,EUR,26.66670036,40,554575000,FIXED,NR,#N/A N/A,WR,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
INTNED,11/15/2018,Corporates,Bank,Banks,1/6/2026,11/8/2018,AT MATURITY,USD,33.33330154,100,1250000000,FIXED,A-,A-,Baa1,NETHERLANDS,59.25925926,0.568020449,0.273205382
CCB,9/24/2018,Corporates,Industrial,Banks,9/24/2021,9/7/2018,AT MATURITY,EUR,15.38459969,46.15380096,588270000,FLOATING,NR,#N/A N/A,A1,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
MIZUHO,10/16/2017,Corporates,Bank,Diversified Banks,10/16/2024,10/10/2017,AT MATURITY,EUR,7.692309856,46.15380096,590525000,FIXED,A,A-,A1,JAPAN,404.4720174,0.049627653,2.502806264
BHH,9/26/2016,Corporates,Financial,Consumer Finance,9/26/2023,9/19/2016,AT MATURITY,EUR,#N/A N/A,#N/A N/A,562645000,FIXED,A,#N/A N/A,A2,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
BNP,4/17/2018,Corporates,Bank,Diversified Banks,4/17/2024,4/10/2018,AT MATURITY,EUR,42.85710144,64.28569794,617765000,FIXED,A-,A-,Baa1,FRANCE,#N/A N/A,4.691934006,1.463239564
AWLN,10/26/2018,Corporates,Financial,Utilities,10/26/2029,10/4/2018,CALLABLE,GBP,#N/A N/A,#N/A N/A,384936000,FIXED,A-,A-,A3,BRITAIN,#N/A N/A,#N/A N/A,#N/A N/A
NAB,8/30/2018,Corporates,Bank,Banks,8/30/2023,8/22/2018,AT MATURITY,EUR,40,90,874290000,FIXED,A+,AA-,Aa3,AUSTRALIA,491.3484228,3.633289298,2.723322393
BACR,11/14/2017,Corporates,Bank,Diversified Banks,11/14/2023,11/6/2017,CALLABLE,EUR,25,83.33329773,589080000,VARIABLE,BBB+,BBB,Baa2,BRITAIN,286.9107844,6.461312838,2.00383084
ABNANV,4/18/2018,Corporates,Bank,Banks,4/22/2025,4/11/2018,AT MATURITY,EUR,37.5,100,929272500,FIXED,A,A,A1,NETHERLANDS,92.74456751,0.890534521,0.485406754
RBIAV,7/5/2018,Corporates,Bank,Banks,7/5/2021,6/18/2018,AT MATURITY,EUR,27.77779961,100,584890000,FIXED,NR,NR,WR,AUSTRIA,270.2919132,7.310178253,1.159290061
IBESM,9/13/2017,Corporates,Financial,Utilities,9/13/2027,9/6/2017,AT MATURITY,EUR,35.71429825,71.4285965,891090000,FIXED,BBB+,BBB+,Baa1,SPAIN,126.8402222,456.7204707,407.7356102
IBESM,4/24/2014,Corporates,Industrial,Utilities,10/24/2022,4/8/2014,AT MATURITY,EUR,35.71429825,71.4285965,1036770000,FIXED,BBB+,BBB+,Baa1,NETHERLANDS,126.8402222,456.7204707,407.7356102
BBVASM,5/14/2018,Corporates,Bank,Banks,5/14/2025,5/3/2018,AT MATURITY,EUR,33.33330154,66.66670227,1197620000,FIXED,BBB,BBB+,Baa2,SPAIN,362.108658,10.02689267,2.430732258
HELENV,7/26/2017,Corporates,Industrial,Waste & Environment Services & Equipment,7/26/2022,6/21/2017,AT MATURITY,CHF,#N/A Field Not Applicable,#N/A Field Not Applicable,78254250,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,SWITZERLAND,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
CMZB,10/23/2018,Corporates,Bank,Banks,10/23/2023,10/2/2018,AT MATURITY,EUR,40,55,574105000,FIXED,BBB-,BBB-,Baa2,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
XEL,6/21/2018,Corporates,Utility,Utilities,6/15/2028,6/14/2018,CALLABLE,USD,#N/A N/A,#N/A N/A,350000000,FIXED,A,A,A1,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
BXP,11/28/2018,Corporates,REIT,Real Estate,12/1/2028,11/13/2018,CALLABLE,USD,#N/A N/A,#N/A N/A,1000000000,FIXED,BBB+,BBB+,Baa1,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
WSTP,11/22/2017,Corporates,Bank,Banks,11/22/2024,11/6/2017,AT MATURITY,EUR,30,90,589755000,FIXED,AA-,AA-,Aa3,AUSTRALIA,629.3245026,3.498586143,2.675798699
SGPAU,11/3/2014,Corporates,Industrial,Real Estate,11/3/2021,10/23/2014,CALLABLE,EUR,37.5,87.5,374559000,FIXED,NR,A-,#N/A N/A,AUSTRALIA,532.3561102,26.59281626,46.41775253
VERAV,11/20/2014,Corporates,Industrial,Power Generation,11/20/2024,11/13/2014,AT MATURITY,EUR,50,57.14289856,626940000,FIXED,A-,A,A3,AUSTRIA,195.7048438,327.3986278,355.3691275
EVRG,6/20/2016,Corporates,Utility,Utilities,7/1/2026,6/13/2016,CALLABLE,USD,#N/A N/A,#N/A N/A,350000000,FIXED,A,A,A2,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
TENN,6/5/2018,Corporates,Industrial,Utilities,6/5/2028,5/22/2018,CALLABLE,EUR,60,100,585760000,FIXED,A-,A-,A3,NETHERLANDS,10314.14184,484.9452931,563.9551256
TRNIM,7/23/2018,Corporates,Industrial,Utilities,7/23/2023,7/16/2018,AT MATURITY,EUR,46.15380096,61.53850174,1169940000,FIXED,BBB,BBB+,Baa2,ITALY,509.6030456,48.65023079,25.7131823
BAMREP,9/20/2018,Corporates,Industrial,Power Generation,1/15/2029,9/18/2018,CALLABLE,CAD,#N/A Field Not Applicable,#N/A Field Not Applicable,367904600,FIXED,BBB+,BBB+,#N/A N/A,CANADA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
AKUOEN,12/8/2017,Corporates,Industrial,Renewable Energy,12/8/2023,12/6/2017,AT MATURITY,EUR,#N/A Field Not Applicable,#N/A Field Not Applicable,58781000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
GFCFP,5/30/2013,Corporates,REIT,Real Estate,5/30/2023,5/21/2013,AT MATURITY,EUR,45.45449829,63.63639832,391374000,FIXED,A-,A-,A3,FRANCE,#N/A N/A,18.46277652,28.74698792
EDF,10/13/2015,Corporates,Industrial,Power Generation,10/13/2025,10/7/2015,CALLABLE,USD,44.44440079,27.77779961,1250000000,FIXED,BBB+,BBB+,A3,FRANCE,909.4155844,405.7597311,169.5520581
BRKHEC,6/27/2013,Corporates,Industrial,Utilities,6/30/2035,6/20/2013,SINKABLE,USD,#N/A N/A,#N/A N/A,1000000000,FIXED,BBB-,BBB,Baa2,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
EOANGR,10/19/2017,Corporates,Financial,Utilities,10/19/2027,10/12/2017,CALLABLE,EUR,30,100,1005941000,FIXED,NR,BBB,Baa2u,NETHERLANDS,120.749934,132.0884747,99.56586808
IREDA,10/10/2017,Corporates,Industrial,Renewable Energy,10/10/2022,9/28/2017,AT MATURITY,INR,#N/A Field Not Applicable,#N/A Field Not Applicable,299007150,FIXED,BBB-,#N/A N/A,Baa3,INDIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
GFCFP,9/30/2016,Corporates,REIT,Real Estate,1/30/2029,9/23/2016,CALLABLE,EUR,45.45449829,63.63639832,561375000,FIXED,A-,A-,A3,FRANCE,#N/A N/A,18.46277652,28.74698792
LIEENE,7/10/2018,Corporates,Industrial,Utilities,7/10/2028,7/3/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,351993000,FIXED,NR,BBB+,#N/A N/A,LITHUANIA,#N/A N/A,#N/A N/A,#N/A N/A
NAB,6/20/2018,Corporates,Bank,Banks,6/20/2023,6/11/2018,AT MATURITY,USD,40,90,750000000,FIXED,AA-,AA-,Aa3,AUSTRALIA,491.3484228,3.633289298,2.723322393
ACAFP,12/5/2018,Corporates,Industrial,Diversified Banks,12/5/2023,11/28/2018,AT MATURITY,EUR,42.85710144,28.57139969,1135000000,FIXED,A+,A+,Aa3,FRANCE,221.4992649,2.185628599,1.145088536
LBBW,12/13/2017,Corporates,Financial,Banks,12/13/2021,12/5/2017,AT MATURITY,EUR,4.761909962,38.09519958,882225000,FIXED,A-,#N/A N/A,A2,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
ICADFP,9/13/2017,Corporates,REIT,Real Estate,9/13/2027,9/4/2017,CALLABLE,EUR,40,33.33330154,712872000,FIXED,NR,BBB+,#N/A N/A,FRANCE,6.730230572,4.903912528,5.966358169
FERROV,12/7/2017,Corporates,Industrial,Travel & Lodging,12/7/2023,11/30/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,707850000,FIXED,BBB-,BBB,#N/A N/A,ITALY,#N/A N/A,#N/A N/A,#N/A N/A
IBESM,6/28/2018,Corporates,Financial,Utilities,10/28/2026,6/21/2018,CALLABLE,EUR,35.71429825,71.4285965,868755000,FIXED,BBB+,BBB+,Baa1,SPAIN,126.8402222,456.7204707,407.7356102
CHGDNU,12/11/2017,Corporates,Industrial,Utilities,12/11/2024,11/23/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,589590000,FIXED,A,#N/A N/A,A2,HONG KONG,#N/A N/A,#N/A N/A,#N/A N/A
KLOVSS,4/4/2018,Corporates,Industrial,Real Estate,4/4/2022,3/26/2018,CALLABLE,SEK,60,60,297792500,FLOATING,#N/A N/A,#N/A N/A,#N/A N/A,SWEDEN,#N/A N/A,#N/A N/A,#N/A N/A
HSBC,12/4/2018,Corporates,Bank,Diversified Banks,12/4/2024,11/27/2018,CALLABLE,EUR,35.71429825,78.5714035,1417850000,VARIABLE,A-,A-,A3,BRITAIN,447.14977,6.121724693,1.796030932
IBESM,9/15/2016,Corporates,Industrial,Utilities,9/15/2025,9/8/2016,AT MATURITY,EUR,35.71429825,71.4285965,786947000,FIXED,BBB+,BBB+,Baa1,NETHERLANDS,126.8402222,456.7204707,407.7356102
DUK,11/8/2018,Corporates,Utility,Utilities,11/15/2028,11/5/2018,CALLABLE,USD,#N/A N/A,#N/A N/A,650000000,FIXED,A+,A,Aa3,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
